"category","bucket","fullName","destPath","cloneUrl"
"ios","noname","anagnole/apple-reviewer-simulator","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\noname\014_anagnole-apple-reviewer-simulator","https://github.com/anagnole/apple-reviewer-simulator.git"
"ios","noname","AmrMohamad/figma-to-ios-ui","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\noname\015_AmrMohamad-figma-to-ios-ui","https://github.com/AmrMohamad/figma-to-ios-ui.git"
"ios","noname","yoshi2ys/simpilot","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\noname\016_yoshi2ys-simpilot","https://github.com/yoshi2ys/simpilot.git"
"ios","noname","bensonmaxai/minis-security-skills","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\noname\017_bensonmaxai-minis-security-skills","https://github.com/bensonmaxai/minis-security-skills.git"
"ios","noname","bensonmaxai/minis-coding-success-skills","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\noname\018_bensonmaxai-minis-coding-success-skills","https://github.com/bensonmaxai/minis-coding-success-skills.git"
"ios","noname","sesamehut/appstore-connect-skill","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\noname\019_sesamehut-appstore-connect-skill","https://github.com/sesamehut/appstore-connect-skill.git"
"ios","noname","ezra-y/ios-motion-patterns-index","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\noname\020_ezra-y-ios-motion-patterns-index","https://github.com/ezra-y/ios-motion-patterns-index.git"
"ios","noname","CJ10110425/claude-design-to-testflight","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\noname\021_CJ10110425-claude-design-to-testflight","https://github.com/CJ10110425/claude-design-to-testflight.git"
"ios","noname","ciscoriordan/storescreens-skill","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\noname\022_ciscoriordan-storescreens-skill","https://github.com/ciscoriordan/storescreens-skill.git"
"ios","noname","sosteam65/app-store-connect-skill","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\noname\023_sosteam65-app-store-connect-skill","https://github.com/sosteam65/app-store-connect-skill.git"
"ios","noname","heyimjames/nikita-bier-consumer-apps","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\ios\noname\024_heyimjames-nikita-bier-consumer-apps","https://github.com/heyimjames/nikita-bier-consumer-apps.git"
"android","top-stars","minhalvp/android-mcp-server","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\android\top-stars\001_minhalvp-android-mcp-server","https://github.com/minhalvp/android-mcp-server.git"
"android","top-stars","aldefy/compose-skill","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\android\top-stars\002_aldefy-compose-skill","https://github.com/aldefy/compose-skill.git"
"android","top-stars","dpconde/claude-android-skill","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\android\top-stars\003_dpconde-claude-android-skill","https://github.com/dpconde/claude-android-skill.git"
"android","top-stars","anhvt52/jetpack-compose-skills","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\android\top-stars\004_anhvt52-jetpack-compose-skills","https://github.com/anhvt52/jetpack-compose-skills.git"
"android","top-stars","martingeidobler/android-mcp-server","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\android\top-stars\005_martingeidobler-android-mcp-server","https://github.com/martingeidobler/android-mcp-server.git"
"android","top-stars","haidrrrry/compose-kotlin-agent-skills","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\android\top-stars\006_haidrrrry-compose-kotlin-agent-skills","https://github.com/haidrrrry/compose-kotlin-agent-skills.git"
"android","top-stars","thecombatwombat/replicant-mcp","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\android\top-stars\007_thecombatwombat-replicant-mcp","https://github.com/thecombatwombat/replicant-mcp.git"
"android","top-stars","jiantao88/android-mcp-server","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\android\top-stars\008_jiantao88-android-mcp-server","https://github.com/jiantao88/android-mcp-server.git"
"android","top-stars","hah23255/adb-android-control","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\android\top-stars\009_hah23255-adb-android-control","https://github.com/hah23255/adb-android-control.git"
"android","top-stars","xnet-admin-1/mcpshell","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\android\top-stars\010_xnet-admin-1-mcpshell","https://github.com/xnet-admin-1/mcpshell.git"
"android","top-stars","alguojian/android-mcp-server","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\android\top-stars\011_alguojian-android-mcp-server","https://github.com/alguojian/android-mcp-server.git"
"android","top-stars","us-all/android-mcp-server","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\android\top-stars\012_us-all-android-mcp-server","https://github.com/us-all/android-mcp-server.git"
"android","top-stars","jduartedj/android-mcp-server","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\android\top-stars\013_jduartedj-android-mcp-server","https://github.com/jduartedj/android-mcp-server.git"
"android","top-stars","RanaNadeemAslam/android-ai-skills","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\android\top-stars\014_RanaNadeemAslam-android-ai-skills","https://github.com/RanaNadeemAslam/android-ai-skills.git"
"android","top-stars","zerotap-app/android-mcp-server","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\android\top-stars\015_zerotap-app-android-mcp-server","https://github.com/zerotap-app/android-mcp-server.git"
"android","top-stars","IngaleChinmay04/android-mcp-server","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\android\top-stars\016_IngaleChinmay04-android-mcp-server","https://github.com/IngaleChinmay04/android-mcp-server.git"
"android","top-stars","jahonn/figma-android-xml","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\android\top-stars\017_jahonn-figma-android-xml","https://github.com/jahonn/figma-android-xml.git"
"android","top-stars","SoundsguyZA/android-mcp-server","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\android\top-stars\018_SoundsguyZA-android-mcp-server","https://github.com/SoundsguyZA/android-mcp-server.git"
"android","top-stars","smutti/mcp_android","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\android\top-stars\019_smutti-mcp_android","https://github.com/smutti/mcp_android.git"
"android","noname","roninforge/roninforge-kotlin-compose","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\android\noname\001_roninforge-roninforge-kotlin-compose","https://github.com/roninforge/roninforge-kotlin-compose.git"
"android","noname","wujie272/termux-mcp","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\android\noname\002_wujie272-termux-mcp","https://github.com/wujie272/termux-mcp.git"
"android","noname","shuao-pro/android-mcp","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\android\noname\003_shuao-pro-android-mcp","https://github.com/shuao-pro/android-mcp.git"
"android","noname","jaye773/android-mcp-server","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\android\noname\004_jaye773-android-mcp-server","https://github.com/jaye773/android-mcp-server.git"
"android","noname","moallemi/android-mcp-server","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\android\noname\005_moallemi-android-mcp-server","https://github.com/moallemi/android-mcp-server.git"
"android","noname","alvarose/android-update-deps","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\android\noname\006_alvarose-android-update-deps","https://github.com/alvarose/android-update-deps.git"
"android","noname","qazmko72/android-mcp-server","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\android\noname\007_qazmko72-android-mcp-server","https://github.com/qazmko72/android-mcp-server.git"
"android","noname","chldu2000/android-mcp-server","C:\Users\lowcoware\Projects\konseputo\references\skill-harvest\mobile\android\noname\008_chldu2000-android-mcp-server","https://github.com/chldu2000/android-mcp-server.git"
